BiasSp,ActualSp,Digital,Meter_CT,Ecat_CT
-100,7999,2158,-100.217,-102
-200,7999,4256,-200.0179,-201
-300,7999,6353,-299.7746,-300
-400,7999,8471,-400.4953,-401
-500,7999,10567,-500.2205,-499
-600,7999,12664,-599.94,-600
-700,7999,14765,-699.8218,-699
-800,7999,16883,-800.5176,-800
-900,7999,18981,-900.2094,-900
-1000,7999,21099,-1000.86,-999
-1100,7999,23195,-1100.44,-1099
-1200,7999,25315,-1201.165,-1199
-1300,7999,27412,-1300.737,-1299
-1400,7999,29510,-1400.358,-1398
-1500,7999,31629,-1500.868,-1498
-1600,7999,33747,-1601.375,-1599
-1700,7999,35845,-1700.951,-1699
-1800,7999,37963,-1801.422,-1799
-1900,7999,40061,-1900.931,-1899
-2000,7999,42178,-2001.341,-1999
-2100,7999,44297,-2101.786,-2100
-2200,7999,46395,-2201.258,-2199
-2300,7999,48512,-2301.597,-2300
-2400,7999,50631,-2401.974,-2401
-2500,7999,52750,-2502.354,-2502
-2600,7999,54867,-2602.577,-2603
-2700,7999,56965,-2701.985,-2702
-2800,7999,59084,-2802.309,-2803
-2900,7999,61202,-2902.479,-2905
-3000,7999,63300,-3001.92,-3000
