100,280,0,0
200,787,8.52,-1377
300,1396,7.29,-1008
400,2058,6.63,-744
500,2737,6.72,-789
600,3431,6.96,-933
700,4141,7.37,-1220
800,4874,7.04,-956
900,5630,7.54,-1406
1000,6379,7.45,-1316
1100,7128,7.54,-1415
1200,7884,7.53,-1403
1300,8633,7.62,-1520
1400,9382,7.53,-1394
1500,10146,7.7,-1649
1600,10918,7.62,-1521
1700,11675,7.61,-1504
1800,12439,7.7,-1666
1900,13211,7.7,-1666
2000,13983,7.7,-1666
2100,14755,7.7,-1666
2200,15527,7.78,-1842
2300,16307,7.7,-1658
2400,17095,7.7,-1658
2500,17867,7.69,-1633
2600,18647,7.79,-1893
2700,19419,7.69,-1623
2800,20199,7.7,-1651
2900,20979,7.78,-1883
3000,21759,7.7,-1643
3100,22539,7.7,-1643
3200,23318,7.78,-1899
3300,24098,7.7,-1635
3400,24878,7.78,-1907
3500,25658,7.7,-1627
3600,26438,7.78,-1915
3700,27218,7.78,-1915
3800,28006,7.7,-1611
3900,28786,7.78,-1923
4000,29573,7.78,-1923
4100,30353,7.78,-1923
4200,31141,7.7,-1587
4300,31921,7.86,-2275
4400,32708,7.78,-1923
4500,33488,7.78,-1923
4600,34268,7.78,-1923
4700,35056,7.78,-1923
4800,35836,7.78,-1923
4900,36623,8.03,-3148
5000,37411,7.78,-1898
5100,38152,7.78,-1898
5200,38979,7.86,-2314
5300,39766,7.78,-1890
5400,40554,7.78,-1890
5500,41334,7.87,-2385
5600,42122,7.78,-1881
5700,42909,7.86,-2337
5800,43689,7.78,-1873
5900,44485,7.86,-2345
6000,45273,7.78,-1865
6100,46060,7.87,-2414
6200,46840,7.86,-2352
6300,47628,7.86,-2352
6400,48416,7.86,-2352
6500,49211,7.78,-1832
6600,49999,7.87,-2426
6700,50786,7.86,-2359
6800,51566,7.86,-2359
6900,52346,7.86,-2359
7000,53142,7.78,-1799
7100,53937,7.87,-2438
7200,54725,7.94,-2942
7300,55513,7.86,-2358
7400,56300,7.86,-2358
7500,57088,7.87,-2433
7600,57883,7.86,-2357
7700,58671,7.86,-2357
7800,59459,7.86,-2357
7900,60254,7.87,-2436
8000,61042,7.87,-2436
