ClampSp,ActualSp,Digital,Meter_Diff,Ecat_Diff
300,144,1179,299.638,373
400,233,1908,400.474,470
500,314,2571,500.962,571
600,396,3243,599.91,666
700,481,3939,699.963,768
800,571,4676,800.524,867
900,657,5380,899.74,961
1000,749,6134,1000.699,1061
1100,840,6879,1099.97,1159
1200,932,7633,1200.129,1258
1300,1024,8386,1299.794,1360
1400,1117,9148,1400.214,1454
1500,1209,9901,1499.118,1549
1600,1303,10671,1599.992,1659
1700,1396,11433,1699.501,1755
1800,1489,12194,1798.774,1852
1900,1583,12964,1899.001,1943
2000,1677,13734,1998.979,2054
2100,1771,14504,2098.935,2150
2200,1865,15274,2198.666,2250
2300,1960,16052,2299.248,2347
2400,2054,16822,2399.001,2450
2500,2148,17592,2498.616,2545
2600,2242,18361,2598.112,2644
2700,2337,19140,2698.872,2740
2800,2431,19909,2798.36,2845
2900,2525,20679,2897.923,2941
3000,2620,21457,2998.547,3046
3100,2714,22227,3098.079,3138
3200,2808,22997,3197.5264,3234
3300,2903,23775,3297.9965,3318
3400,2997,24545,3397.7268,3412
3500,3092,25323,3498.0126,3511
3600,3186,26093,3597.3821,3619
3700,3281,26871,3697.6192,3735
3800,3376,27649,3797.9391,3811
3900,3470,28419,3897.0114,3903
4000,3565,29197,3997.1643,4001
4100,3660,29975,4097.3928,4104
4200,3755,30753,4197.3424,4233
4300,3849,31523,4296.5268,4301
4400,3945,32309,4397.3715,4427
4500,4040,33087,4497.2083,4521
4600,4135,33865,4597.1717,4630
4700,4230,34643,4696.9288,4713
4800,4325,35421,4796.8317,4832
4900,4420,36199,4896.5789,4923
5000,4518,37002,4999.57417,5025
5100,4613,37780,5099.27585,5128
5200,4708,38558,5198.98228,5220
5300,4804,39344,5299.5746,5326
5400,4899,40122,5399.1476,5419
5500,4994,40900,5498.6188,5516
5600,5090,41687,5599.3959,5617
5700,5185,42465,5698.7962,5723
5800,5281,43251,5799.1843,5818
5900,5376,44029,5898.7618,5911
6000,5472,44815,5998.9033,6017
6100,5567,45593,6098.4454,6112
6200,5663,46380,6198.786,6219
6300,5759,47166,6298.9121,6347
6400,5855,47952,6399.1883,6391
6500,5951,48738,6499.2346,6531
6600,6046,49516,6598.6463,6647
6700,6142,50303,6698.8241,6722
6800,6238,51089,6798.8771,6844
6900,6334,51875,6899.0092,6931
7000,6430,52661,6998.9653,7020
7100,6525,53439,7098.1592,7135
7200,6621,54226,7198.215,7234
7300,6718,55020,7298.913,7329
7400,6814,55806,7398.957,7422
7500,6910,56592,7498.678,7531
7600,7006,57379,7598.744,7612
7700,7102,58165,7698.587,7718
7800,7198,58951,7798.406,7850
7900,7294,59737,7898.381,7888
8000,7390,60524,7998.22,7992
